Diện tích (m^2),Khu vực,Mô tả vị trí,Mặt tiền (m),Số phòng ngủ,WC,Giá nhà (Tỷ)
50,Quận Thanh Khê,CĂN HỘ CHUNG CƯ,5,3.0,4.0,3.0
100,Quận Cẩm Lệ,NHÀ MẶT PHỐ,5,3.0,2.0,4.7
116,Quận Sơn Trà,CĂN HỘ CHUNG CƯ,5,5.5,7.0,8.25
94,Quận Ngũ Hành Sơn,NHÀ MẶT PHỐ,5,3.0,3.0,6.2
70,Quận Hải Châu,NHÀ TRONG NGÕ,5,5.0,3.0,4.15
66,Quận Hải Châu,NHÀ ĐẤT THỔ CƯ,5,3.0,2.0,3.9
70,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,7,2.0,2.0,0.7
73,Quận Hải Châu,NHÀ ĐẤT THỔ CƯ,4,2.0,1.0,4.25
204,Quận Sơn Trà,NHÀ MẶT PHỐ,4,5.5,7.0,0.0048
70,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,2,2.0,2.0,1.6
183,Quận Thanh Khê,NHÀ MẶT PHỐ,4,3.0,4.0,3.55
115,Quận Ngũ Hành Sơn,NHÀ MẶT PHỐ,5,1.5,1.0,8.0
110,Quận Ngũ Hành Sơn,NHÀ MẶT PHỐ,5,2.0,1.0,2.6
105,Quận Liên Chiểu,NHÀ MẶT PHỐ,7,1.5,2.0,2.75
105,Quận Ngũ Hành Sơn,NHÀ MẶT PHỐ,5,3.0,2.0,3.8
55,Quận Hải Châu,NHÀ TRONG NGÕ,6,3.0,3.0,3.7
204,Quận Hải Châu,NHÀ TRONG NGÕ,10,4.0,4.0,10.4
50,Quận Hải Châu,NHÀ ĐẤT THỔ CƯ,4,3.0,4.0,3.2
59,Quận Hải Châu,NHÀ ĐẤT THỔ CƯ,5,3.0,4.0,5.4
60,Quận Thanh Khê,NHÀ TRONG NGÕ,5,4.0,3.0,3.95
71,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,6,2.0,1.0,1.6
50,Quận Thanh Khê,NHÀ ĐẤT THỔ CƯ,5,2.0,3.0,2.85
50,Quận Hải Châu,NHÀ TRONG NGÕ,6,4.0,3.0,3.5
100,Quận Cẩm Lệ,NHÀ ĐẤT THỔ CƯ,5,4.0,3.0,5.3
56,Quận Hải Châu,NHÀ MẶT PHỐ,4,3.0,3.0,3.2
63,Quận Hải Châu,NHÀ MẶT PHỐ,10,5.5,7.0,9.5
83,Quận Hải Châu,NHÀ ĐẤT THỔ CƯ,5,3.0,3.0,6.5
85,Quận Thanh Khê,NHÀ TRONG NGÕ,3,3.0,3.0,4.05
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,4.0,4.0,11.73
150,Quận Liên Chiểu,NHÀ ĐẤT THỔ CƯ,5,3.0,4.0,4.8
130,Quận Cẩm Lệ,NHÀ TRONG NGÕ,6,2.0,1.0,2.5
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,4.0,4.0,12.2
204,Quận Sơn Trà,"NHÀ BIỆT THỰ, LIỀN KỀ",10,4.0,4.0,4.07
120,Quận Liên Chiểu,NHÀ ĐẤT THỔ CƯ,2,1.5,2.0,4.68
118,Huyện Hòa Vang,NHÀ MẶT PHỐ,5,3.0,2.0,2.75
55,Quận Thanh Khê,NHÀ MẶT PHỐ,5,3.0,3.0,6.2
176,Quận Hải Châu,NHÀ MẶT PHỐ,6,3.0,3.0,3.56
55,Quận Sơn Trà,NHÀ MẶT PHỐ,5,2.0,3.0,3.2
123,Quận Sơn Trà,NHÀ MẶT PHỐ,5,3.0,3.0,11.5
90,Quận Ngũ Hành Sơn,NHÀ MẶT PHỐ,5,4.0,4.0,11.9
75,Quận Thanh Khê,NHÀ MẶT PHỐ,5,3.0,3.0,10.5
73,Quận Thanh Khê,NHÀ MẶT PHỐ,4,3.0,3.0,7.0
63,Quận Thanh Khê,NHÀ MẶT PHỐ,5,4.0,4.0,4.15
88,Quận Cẩm Lệ,NHÀ MẶT PHỐ,5,3.0,3.0,3.6
85,Quận Liên Chiểu,NHÀ MẶT PHỐ,5,3.0,3.0,3.45
56,Quận Thanh Khê,NHÀ TRONG NGÕ,5,4.0,4.0,4.1
44,Quận Thanh Khê,NHÀ ĐẤT THỔ CƯ,6,4.0,4.0,3.5
70,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,7,2.0,2.0,1.7
120,Quận Hải Châu,"NHÀ BIỆT THỰ, LIỀN KỀ",6,3.0,3.0,12.0
150,Quận Hải Châu,NHÀ MẶT PHỐ,6,5.5,7.0,11.5
72,Quận Hải Châu,NHÀ TRONG NGÕ,4,3.0,3.0,3.5
40,Quận Hải Châu,NHÀ TRONG NGÕ,7,3.0,3.0,3.5
72,Quận Hải Châu,NHÀ MẶT PHỐ,4,2.0,2.0,3.4
71,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,10,2.0,2.0,0.5
78,Quận Hải Châu,NHÀ TRONG NGÕ,7,3.0,4.0,8.5
71,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,10,2.0,2.0,0.57
71,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,10,2.0,2.0,0.56
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,4.0,4.0,21.0
120,Quận Hải Châu,NHÀ MẶT PHỐ,6,4.0,4.0,11.0
50,Quận Hải Châu,NHÀ ĐẤT THỔ CƯ,4,3.0,2.0,2.65
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,1.5,1.0,18.5
204,Quận Sơn Trà,"NHÀ BIỆT THỰ, LIỀN KỀ",10,4.0,4.0,14.0
105,Quận Liên Chiểu,NHÀ MẶT PHỐ,5,1.5,2.0,2.7
81,Quận Hải Châu,NHÀ MẶT PHỐ,4,4.0,5.0,5.8
120,Quận Liên Chiểu,NHÀ ĐẤT THỔ CƯ,5,1.5,1.0,1.0
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,3.0,3.0,4.25
95,Quận Cẩm Lệ,NHÀ MẶT PHỐ,4,2.0,3.0,2.9
120,Quận Hải Châu,"NHÀ BIỆT THỰ, LIỀN KỀ",6,4.0,4.0,11.5
120,Quận Hải Châu,NHÀ MẶT PHỐ,6,5.0,5.0,12.3
110,Quận Thanh Khê,NHÀ MẶT PHỐ,5,1.5,1.0,1.39
98,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,6,3.0,3.0,2.4
204,Quận Cẩm Lệ,NHÀ MẶT PHỐ,5,4.0,4.0,8.0
